user_id,age,gender,occupation,need_glasses,keep_glasses,blurred_preceiving,game_experience,vr_experience,training_need
10,38,0,manager,1,1,0,0,0,3
11,21,0,student,0,0,0,10,0,2
12,54,0,professor,0,0,0,0.5,1,4
13,22,0,student,1,1,0,3,0,4
14,25,1,student,1,1,0,3,0,2
15,23,1,student,0,0,0,0,0,3
16,28,0,engineer,1,1,0,2,0,4
17,24,0,student,1,1,0,3,2,4
18,21,0,student,0,0,0,2,1,3
19,30,1,unknown,1,1,0,0,0,3
20,22,0,student,0,0,0,12,1,2
21,32,1,physiotherapist,1,1,0,15,2,1
22,23,0,student,0,0,0,0,0,3
23,35,1,designer,0,0,0,0,0,4
24,29,0,unknown,0,0,0,0,0,3
25,24,1,student,0,0,0,0,0,1
26,66,0,consultant,1,0,1,0,2,2
27,65,1,artist,1,0,1,0,0,3
28,46,0,manager,0,0,0,0,0,5